lot_id,cota_cena_m
S08-Q01-B001-L001,-35.000
S08-Q01-B002-L001,-35.000
S08-Q01-B003-L001,-35.000
S08-Q01-B004-L001,-35.000
S08-Q01-B005-L001,-35.000
S08-Q01-B006-L001,-35.000
S08-Q01-B007-L001,-35.000
S08-Q01-B008-L001,-35.000
S08-Q01-B009-L001,-35.000
S08-Q01-B010-L001,-35.000
S08-Q01-B011-L001,-35.000
S08-Q01-B012-L001,-35.000
S08-Q01-B013-L001,-35.000
S08-Q01-B014-L001,-35.000
S08-Q01-B015-L001,-35.000
S08-Q01-B016-L001,-35.000
S08-Q01-B017-L001,-35.000
S08-Q01-B018-L001,-35.000
S08-Q01-B019-L001,-35.000
S08-Q01-B020-L001,-35.000
S08-Q01-B021-L001,-35.000
S07-Q01-B001-L001,-30.000
S07-Q01-B002-L001,-30.000
S07-Q01-B003-L001,-30.000
S07-Q01-B004-L001,-30.000
S07-Q01-B005-L001,-30.000
S07-Q01-B006-L001,-30.000
S07-Q01-B007-L001,-30.000
S07-Q01-B008-L001,-30.000
S07-Q01-B009-L001,-30.000
S07-Q01-B010-L001,-30.000
S07-Q01-B011-L001,-30.000
S07-Q01-B012-L001,-30.000
S07-Q01-B013-L001,-30.000
S07-Q01-B014-L001,-30.000
S07-Q01-B015-L001,-30.000
S07-Q01-B016-L001,-30.000
S07-Q01-B017-L001,-30.000
S07-Q01-B018-L001,-30.000
S07-Q01-B019-L001,-30.000
S07-Q01-B020-L001,-30.000
S07-Q01-B021-L001,-30.000
S07-Q01-B022-L001,-30.000
S07-Q01-B023-L001,-30.000
S07-Q01-B024-L001,-30.000
S07-Q01-B025-L001,-30.000
S07-Q01-B026-L001,-30.000
S07-Q01-B027-L001,-30.000
S07-Q01-B028-L001,-30.000
S07-Q01-B029-L001,-30.000
S07-Q01-B030-L001,-30.000
S07-Q01-B031-L001,-30.000
S07-Q01-B032-L001,-30.000
S07-Q01-B033-L001,-30.000
S07-Q01-B034-L001,-30.000
S07-Q01-B035-L001,-30.000
S07-Q01-B036-L001,-30.000
S07-Q01-B037-L001,-30.000
S07-Q01-B038-L001,-30.000
S07-Q01-B039-L001,-30.000
S07-Q01-B040-L001,-30.000
S07-Q01-B041-L001,-30.000
S07-Q01-B042-L001,-30.000
S07-Q01-B043-L001,-30.000
S07-Q01-B044-L001,-30.000
S07-Q01-B045-L001,-30.000
S07-Q01-B046-L001,-30.000
S07-Q01-B047-L001,-30.000
S07-Q01-B048-L001,-30.000
S07-Q01-B049-L001,-30.000
S07-Q01-B050-L001,-30.000
S07-Q01-B051-L001,-30.000
S07-Q01-B052-L001,-30.000
S07-Q01-B053-L001,-30.000
S07-Q01-B054-L001,-30.000
S07-Q01-B055-L001,-30.000
S07-Q01-B056-L001,-30.000
S07-Q01-B057-L001,-30.000
S07-Q01-B058-L001,-30.000
S07-Q01-B059-L001,-30.000
S07-Q01-B060-L001,-30.000
S07-Q01-B061-L001,-30.000
S07-Q01-B062-L001,-30.000
S07-Q01-B063-L001,-30.000
S07-Q01-B064-L001,-30.000
S07-Q01-B065-L001,-30.000
S07-Q01-B066-L001,-30.000
S07-Q01-B067-L001,-30.000
S07-Q01-B068-L001,-30.000
S07-Q01-B069-L001,-30.000
S07-Q01-B070-L001,-30.000
S07-Q01-B071-L001,-30.000
S07-Q01-B072-L001,-30.000
S07-Q01-B073-L001,-30.000
S07-Q01-B074-L001,-30.000
S07-Q01-B075-L001,-30.000
S07-Q01-B076-L001,-30.000
S07-Q01-B077-L001,-30.000
S07-Q01-B078-L001,-30.000
S07-Q01-B079-L001,-30.000
S07-Q01-B080-L001,-30.000
S07-Q01-B081-L001,-30.000
S07-Q01-B082-L001,-30.000
S07-Q01-B083-L001,-30.000
S07-Q01-B084-L001,-30.000
S07-Q01-B085-L001,-30.000
S07-Q01-B086-L001,-30.000
S07-Q01-B087-L001,-30.000
S07-Q01-B088-L001,-30.000
S07-Q01-B089-L001,-30.000
S07-Q01-B090-L001,-30.000
S07-Q01-B091-L001,-30.000
S07-Q01-B092-L001,-30.000
S07-Q01-B093-L001,-30.000
S07-Q01-B094-L001,-30.000
S07-Q01-B095-L001,-30.000
S07-Q01-B096-L001,-30.000
S07-Q01-B097-L001,-30.000
S07-Q01-B098-L001,-30.000
S07-Q01-B099-L001,-30.000
S07-Q01-B100-L001,-30.000
S07-Q01-B101-L001,-30.000
S07-Q01-B102-L001,-30.000
S07-Q01-B103-L001,-30.000
S07-Q01-B104-L001,-30.000
S07-Q01-B105-L001,-30.000
S07-Q01-B106-L001,-30.000
S07-Q01-B107-L001,-30.000
S07-Q01-B108-L001,-30.000
S07-Q01-B109-L001,-30.000
S07-Q01-B110-L001,-30.000
S07-Q01-B111-L001,-30.000
S07-Q01-B112-L001,-30.000
S07-Q01-B113-L001,-30.000
S07-Q01-B114-L001,-30.000
S07-Q01-B115-L001,-30.000
S07-Q01-B116-L001,-30.000
S07-Q01-B117-L001,-30.000
S07-Q01-B118-L001,-30.000
S07-Q01-B119-L001,-30.000
S07-Q01-B120-L001,-30.000
S07-Q01-B121-L001,-30.000
S07-Q01-B122-L001,-30.000
S07-Q01-B123-L001,-30.000
S07-Q01-B124-L001,-30.000
S07-Q01-B125-L001,-30.000
S07-Q01-B126-L001,-30.000
S07-Q01-B127-L001,-30.000
S07-Q01-B128-L001,-30.000
S07-Q01-B129-L001,-30.000
S07-Q01-B130-L001,-30.000
S07-Q01-B131-L001,-30.000
S07-Q01-B132-L001,-30.000
S07-Q01-B133-L001,-30.000
S07-Q01-B134-L001,-30.000
S07-Q01-B135-L001,-30.000
S07-Q01-B136-L001,-30.000
S07-Q01-B137-L001,-30.000
S07-Q01-B138-L001,-30.000
S07-Q01-B139-L001,-30.000
